siparis_id,tarih,urun,sehir,adet,birim_fiyat,musteri_id
155,2023-11-09,Hoparlör,Kayseri,1,9163.98,6063
156,2023-04-12,Mikrofon,Bursa,2,4006.46,666
157,2023-06-10,Klavye,İzmir,5,1172.22,22
158,2024-02-23,Şarj Cihazı,Kayseri,4,4404.33,1897
159,2023-10-23,Webcam,Antalya,4,1114.14,1913
160,2023-09-28,Mikrofon,Kayseri,2,6405.83,4462
161,2023-08-19,Yazıcı,İzmir,3,12408.14,585
162,2023-03-03,Kulaklık,Antalya,5,11246.92,4663
163,2023-10-23,Şarj Cihazı,Ankara,4,10345.74,5733
164,2024-02-17,Mouse,Mersin,5,7432.24,659
165,2024-09-04,Laptop,Konya,3,9075.52,212
166,2023-04-04,Klavye,Kayseri,5,14264.25,6265
167,2024-11-19,SSD Disk,Antalya,5,651.46,6196
168,2023-06-29,Şarj Cihazı,Mersin,4,13745.29,1487
169,2024-08-22,Tablet,Gaziantep,1,7076.66,3346
170,2023-12-08,Monitör,Ankara,2,4980.56,5683
171,2024-05-22,Mouse,Konya,5,598.62,722
172,2023-11-19,Mouse,Adana,1,14554.26,3312
173,2024-06-10,SSD Disk,İstanbul,5,6956.55,445
174,2023-07-12,Kamera,Adana,5,11358.83,5124
175,2024-03-28,Mikrofon,İstanbul,2,4042.49,1074
176,2023-10-22,Şarj Cihazı,Gaziantep,1,481.6,5162
177,2024-09-15,Mikrofon,Bursa,2,4695.71,113
178,2024-07-19,Tablet,Ankara,2,14884.24,7479
179,2023-04-27,Şarj Cihazı,Ankara,2,7500.71,5871
180,2023-10-26,Kamera,Antalya,4,12529.12,3869
181,2023-09-07,Şarj Cihazı,Mersin,2,5784.61,7552
182,2024-09-05,Kamera,İzmir,1,4179.9,6472
183,2024-02-29,Monitör,Mersin,3,12317.21,2318
184,2023-11-02,SSD Disk,Kayseri,5,14983.59,4012
185,2023-06-02,Şarj Cihazı,Mersin,4,5209.6,4522
186,2024-07-10,Tablet,Gaziantep,3,13050.55,5714
187,2023-09-02,Hoparlör,Konya,2,12847.39,3366
188,2023-02-14,Monitör,Gaziantep,4,5821.88,5437
189,2024-10-29,Kulaklık,Gaziantep,1,1937.38,7909
190,2024-08-27,Monitör,Ankara,4,1540.69,7459
191,2024-04-12,Laptop,İzmir,4,13070.45,7946
192,2023-06-08,Telefon,Gaziantep,3,5111.49,5675
193,2024-02-12,Yazıcı,Ankara,3,12792.5,7040
194,2024-06-30,Tablet,Adana,4,13092.13,295
195,2024-09-24,Telefon,Bursa,3,14961.52,6118
196,2023-04-03,Tablet,Ankara,1,6682.99,5686
197,2023-11-03,RAM,İstanbul,1,4899.4,460
198,2023-10-28,Monitör,Adana,4,2226.27,4352
199,2024-02-26,Hoparlör,İzmir,2,2667.29,4993
200,2024-01-27,Hoparlör,Bursa,4,13696.79,1173
201,2023-08-26,Şarj Cihazı,Antalya,4,3867.13,77
202,2024-04-21,RAM,Antalya,5,2411.74,3619
203,2023-12-20,Hoparlör,Antalya,4,10370.19,3743
204,2023-11-06,Klavye,Konya,4,1644.47,3125
205,2024-08-08,Monitör,Kayseri,3,14890.75,2419
206,2023-01-23,SSD Disk,Konya,3,171.06,7087
207,2024-12-03,Mikrofon,İstanbul,5,11190.32,6823
208,2023-10-21,Mikrofon,Bursa,5,12038.88,1795
209,2024-10-13,Klavye,Kayseri,3,10182.58,5906
210,2024-11-06,Yazıcı,İzmir,1,13555.89,5295
211,2023-02-10,Mouse,Gaziantep,1,8714.63,6000
212,2023-05-15,Telefon,Antalya,3,11224.84,1439
213,2023-07-25,Kulaklık,Mersin,3,7986.24,7484
214,2023-10-07,SSD Disk,İzmir,3,13715.03,7735
215,2024-05-08,Mikrofon,Antalya,3,12073.28,3837
216,2023-03-19,Kulaklık,Bursa,4,14510.68,6592
217,2024-07-24,Monitör,Ankara,4,258.08,4396
218,2023-05-07,Şarj Cihazı,Adana,3,8789.17,6738
219,2024-10-15,Monitör,Ankara,2,7098.58,5076
220,2024-07-28,Monitör,Kayseri,2,9732.4,5206
221,2024-04-20,RAM,Antalya,4,1794.31,372
222,2023-02-08,Mouse,Gaziantep,1,1503.02,7269
223,2024-07-04,Kulaklık,Konya,4,5596.62,7778
224,2024-12-14,Kamera,Konya,5,11146.92,1266
225,2024-02-29,Yazıcı,Ankara,4,9254.0,7693
226,2023-10-14,Laptop,Adana,2,6678.58,7787
227,2023-08-30,SSD Disk,Adana,1,14714.87,3010
228,2024-07-11,RAM,Adana,1,6002.19,1555
229,2023-05-06,SSD Disk,Gaziantep,1,9958.39,5257
230,2024-10-16,Hoparlör,İstanbul,1,11812.58,1996
231,2023-05-09,Mikrofon,Kayseri,2,1075.72,6269
232,2024-07-21,Klavye,Kayseri,2,12205.14,1909
233,2023-12-03,Mikrofon,İzmir,5,92.39,7033
234,2023-05-29,Kulaklık,Mersin,3,11987.78,901
235,2024-11-07,SSD Disk,İstanbul,2,272.16,6472
236,2023-09-01,Hoparlör,Adana,1,2654.98,430
237,2023-05-10,Webcam,Konya,5,1749.06,521
238,2024-05-02,Şarj Cihazı,Adana,5,8925.31,3703
239,2024-05-30,Klavye,Kayseri,1,10922.28,7445
240,2024-11-05,Kamera,Antalya,4,9667.94,256
241,2023-03-04,Şarj Cihazı,Konya,4,10307.16,4017
242,2024-12-30,RAM,Gaziantep,1,13494.04,2639
243,2024-09-14,Kulaklık,Ankara,2,4161.49,5187
244,2024-08-22,Kamera,Adana,4,14919.68,4347
245,2023-10-29,Şarj Cihazı,Mersin,5,6481.48,6498
246,2024-12-19,Telefon,Mersin,2,6479.55,7276
247,2023-08-22,Tablet,Adana,4,6011.02,5977
248,2023-04-08,Monitör,Konya,3,9993.36,3067
249,2023-06-06,Yazıcı,Gaziantep,1,1413.81,700
250,2023-04-06,Tablet,Ankara,3,12185.95,4558
251,2023-03-03,Hoparlör,Mersin,5,4978.21,1002
252,2024-02-25,Monitör,Konya,1,14527.56,4919
253,2023-11-16,Monitör,Ankara,5,7635.82,1268
254,2024-11-03,Şarj Cihazı,Bursa,1,5284.2,4557
255,2024-01-12,Telefon,Antalya,5,3431.08,3516
256,2024-07-28,Mikrofon,Kayseri,5,10140.9,4561
257,2023-01-27,Hoparlör,Antalya,1,2747.22,5757
258,2023-11-13,RAM,Adana,3,141.28,7126
259,2023-05-27,Hoparlör,Konya,1,2171.03,5187
260,2023-02-01,Telefon,Mersin,2,5674.11,3717
261,2023-12-16,Kulaklık,Adana,3,10837.86,6364
262,2024-08-04,Hoparlör,Ankara,1,2375.92,6181
263,2024-09-24,Laptop,Ankara,3,6674.54,3474
264,2024-05-12,Hoparlör,Gaziantep,4,4133.84,6185
265,2024-06-08,Telefon,Adana,4,1707.8,5556
266,2024-11-25,Hoparlör,Gaziantep,5,10023.63,373
267,2023-08-14,Tablet,Kayseri,1,164.92,2470
268,2023-08-05,Mikrofon,İzmir,3,4377.23,983
269,2023-01-08,Şarj Cihazı,Konya,2,1981.33,4363
270,2024-12-21,Klavye,Mersin,5,12508.65,6605
271,2023-12-29,Telefon,Konya,1,6571.48,3767
272,2023-03-21,SSD Disk,Adana,5,6467.8,3314
273,2024-12-27,Yazıcı,Konya,3,1771.84,171
274,2023-11-29,Kulaklık,Kayseri,4,12488.79,7535
275,2024-01-06,Telefon,Konya,1,3687.58,4825
276,2024-02-15,Kamera,Ankara,4,13064.34,6110
277,2023-12-14,Klavye,Adana,2,1191.87,5188
278,2023-04-27,Kamera,Mersin,2,13593.54,2863
279,2023-12-26,Webcam,İzmir,2,1586.93,2097
280,2023-07-22,Kulaklık,Kayseri,2,11415.22,5370
281,2023-03-19,Kulaklık,Gaziantep,4,11328.97,6225
282,2024-08-16,Şarj Cihazı,Kayseri,5,4881.96,7955
283,2024-10-04,Monitör,İzmir,4,1070.88,3623
284,2024-10-08,Mouse,Antalya,5,889.77,4157
285,2023-03-17,Mouse,Gaziantep,4,612.23,3021
286,2023-10-21,Telefon,Ankara,5,8931.49,3150
287,2024-04-18,Hoparlör,Mersin,1,6773.52,6635
288,2024-08-08,Yazıcı,Bursa,3,9094.84,4108
289,2023-06-04,Laptop,Gaziantep,1,12173.95,6860
290,2023-12-18,Webcam,Ankara,5,9709.6,321
291,2023-09-11,Webcam,Gaziantep,4,7884.82,4996
292,2023-06-12,Monitör,Adana,3,5841.88,6345
293,2023-12-13,Yazıcı,Kayseri,1,11848.94,5303
294,2023-12-09,Telefon,Adana,1,8391.55,3167
295,2023-10-18,Mouse,Kayseri,2,5033.76,4774
296,2024-11-10,Kulaklık,Adana,3,14517.06,5722
297,2024-11-09,Tablet,İzmir,5,10647.07,695
298,2023-11-14,Kamera,Konya,3,12207.11,5490
299,2024-12-20,SSD Disk,Mersin,1,9708.07,3469
300,2024-06-04,Monitör,İstanbul,3,4667.55,7792
301,2023-08-08,Monitör,Gaziantep,2,3436.82,1127
302,2023-06-08,Telefon,Antalya,1,7639.96,4422
303,2024-06-23,Laptop,Adana,5,2009.18,3087
304,2023-06-07,Kulaklık,İzmir,5,12145.2,1357
305,2024-03-24,Laptop,Konya,3,10161.63,1946
306,2024-03-30,Hoparlör,Antalya,4,3548.34,1960
307,2023-11-13,Mikrofon,Gaziantep,2,5549.22,7759
308,2024-08-07,Şarj Cihazı,Gaziantep,3,11682.95,4120
309,2024-06-24,Tablet,İzmir,2,12028.83,1134
310,2023-09-14,Laptop,Gaziantep,3,8340.38,841
311,2024-12-29,SSD Disk,Mersin,1,4311.69,6252
312,2023-06-14,Mouse,Gaziantep,5,2252.86,3584
313,2023-04-04,RAM,Bursa,4,13275.22,7623
314,2023-01-28,Tablet,İstanbul,4,7555.01,1932
315,2024-01-31,Telefon,Adana,2,471.4,7626
316,2023-04-12,SSD Disk,Adana,2,2107.11,2351
317,2024-04-28,Webcam,İzmir,4,6756.59,44
318,2023-03-23,Laptop,Antalya,2,12532.7,4496
319,2024-09-15,Kamera,Konya,1,11653.78,1947
320,2023-11-05,Telefon,İstanbul,2,6326.39,6504
321,2024-09-29,Şarj Cihazı,Ankara,1,12558.48,4095
322,2024-09-03,Kamera,İstanbul,5,8646.96,5887
323,2023-05-28,Mouse,Konya,1,9241.4,1971
324,2024-08-07,Tablet,İzmir,1,7876.09,2955
325,2023-03-11,Kamera,Mersin,5,11806.86,4159
326,2024-07-21,Laptop,Konya,4,700.84,3170
327,2024-01-18,Mouse,İstanbul,3,11838.37,2825
328,2023-09-04,Webcam,Ankara,5,11041.05,2724
329,2023-05-17,Laptop,Adana,5,5111.28,5266
330,2023-06-29,SSD Disk,Gaziantep,4,9494.45,6648
331,2023-05-19,Telefon,Gaziantep,1,4436.97,359
332,2023-07-24,RAM,İstanbul,3,14003.9,4223
333,2024-02-12,SSD Disk,Mersin,4,3837.04,6171
334,2024-10-24,Klavye,Antalya,3,12938.97,392
335,2024-11-02,Monitör,Antalya,1,12000.17,3580
336,2024-02-14,Webcam,Gaziantep,4,5118.6,1531
337,2024-05-23,Webcam,Gaziantep,3,13868.44,4254
338,2023-10-01,Mikrofon,Ankara,4,1229.96,4936
339,2023-07-04,Kamera,Antalya,3,1583.84,2687
340,2024-11-07,Mouse,Antalya,4,9059.19,3491
341,2023-06-20,Webcam,Gaziantep,3,6734.59,5955
342,2023-12-28,Hoparlör,Konya,3,9610.07,6484
343,2023-02-28,Telefon,Konya,3,7720.64,6144
344,2024-11-26,Kulaklık,İstanbul,2,12737.61,5555
345,2024-03-24,Laptop,İzmir,1,3578.13,5286
346,2024-01-11,Monitör,Konya,5,534.16,1257
347,2024-11-26,Şarj Cihazı,Adana,3,6686.89,630
348,2024-08-10,Kulaklık,Mersin,3,6000.61,5322
349,2023-10-13,Klavye,Ankara,1,11048.34,4089
350,2024-06-14,Tablet,Mersin,1,3963.56,2133
351,2024-12-21,Şarj Cihazı,Bursa,5,4319.37,7508
352,2024-05-17,Klavye,Ankara,2,12799.75,3704
353,2023-06-26,RAM,Gaziantep,1,12167.17,7927
354,2023-11-24,Yazıcı,Adana,1,8272.46,2379
355,2023-11-04,SSD Disk,İzmir,2,11915.76,4168
356,2023-08-18,Telefon,Bursa,2,3589.21,4048
357,2023-01-27,Monitör,Mersin,5,5565.22,6584
358,2024-07-18,Kulaklık,Kayseri,1,1032.93,3262
359,2024-05-05,Kamera,Konya,4,12358.92,605
360,2023-05-09,Monitör,Ankara,4,7014.21,4239
361,2023-12-19,Kulaklık,Mersin,5,2770.35,7916
362,2023-05-13,Tablet,Mersin,1,12479.29,4245
363,2023-06-06,Mouse,İzmir,2,4873.78,5811
364,2023-08-19,Monitör,Mersin,3,12696.71,2053
365,2023-07-21,Yazıcı,Mersin,3,1921.3,2481
366,2024-09-21,Kamera,Ankara,5,9632.76,4849
367,2024-08-17,Kulaklık,İzmir,5,10823.46,4958
368,2023-12-12,SSD Disk,Kayseri,1,12387.28,233
369,2023-03-25,Laptop,Kayseri,3,9784.39,6283
370,2024-08-08,Tablet,Kayseri,1,7495.67,5138
371,2024-07-12,Mouse,Antalya,4,3710.92,6614
372,2024-12-02,Tablet,Antalya,4,1140.95,491
373,2023-06-11,Şarj Cihazı,Konya,4,6993.41,2787
374,2024-09-13,Kulaklık,Adana,3,11026.29,7052
375,2023-12-20,Tablet,İzmir,3,7748.95,870
376,2023-11-23,Klavye,Gaziantep,1,4048.7,2031
377,2023-05-25,Telefon,İstanbul,3,14183.5,7080
378,2024-09-22,Tablet,Bursa,2,12211.49,7650
379,2024-08-14,Webcam,Adana,2,11458.66,4082
380,2024-06-11,Şarj Cihazı,Gaziantep,3,7485.69,738
381,2024-02-07,Kamera,Gaziantep,2,3266.41,2891
382,2023-02-19,Laptop,Antalya,4,8982.91,6905
383,2024-10-31,Yazıcı,Gaziantep,3,8073.53,6941
384,2023-04-21,Tablet,İzmir,3,10926.25,6258
385,2024-02-17,Monitör,İstanbul,4,814.81,4603
386,2023-07-19,Monitör,Mersin,3,1149.3,4131
387,2024-04-06,Mikrofon,Mersin,3,12388.4,5106
388,2024-11-27,Hoparlör,Ankara,2,14627.49,3227
389,2024-01-18,Mikrofon,Adana,5,14087.28,6185
390,2023-05-28,Klavye,Kayseri,5,6050.74,330
391,2023-02-16,Laptop,İzmir,3,12069.29,4255
392,2024-04-12,Kulaklık,Kayseri,5,2139.73,7630
393,2024-09-19,Monitör,İzmir,4,14859.71,6057
394,2023-11-03,Hoparlör,Adana,5,12432.93,4361
395,2024-05-16,Webcam,Kayseri,3,7149.64,137
396,2024-01-13,Monitör,Ankara,4,8776.35,6528
397,2024-12-05,Yazıcı,İstanbul,5,7145.12,7923
398,2024-11-02,Mikrofon,Kayseri,5,3451.77,421
399,2024-08-20,Şarj Cihazı,İzmir,5,9453.93,5077
400,2024-01-25,Kulaklık,Bursa,1,8609.93,5739
401,2023-04-23,Klavye,İstanbul,4,4739.7,1241
402,2024-02-27,Webcam,Bursa,4,7552.2,5010
403,2024-04-27,SSD Disk,İstanbul,2,7804.31,4595
404,2023-11-29,Yazıcı,Gaziantep,5,5683.53,7838
405,2023-06-27,Şarj Cihazı,Mersin,3,8216.78,5537
406,2024-11-28,Yazıcı,Antalya,5,7288.49,7843
407,2023-09-10,Mouse,Mersin,3,3411.76,7971
408,2023-11-01,Mikrofon,Antalya,2,10369.09,4006
409,2023-11-21,Şarj Cihazı,Adana,5,14008.82,6516
410,2023-10-08,Mouse,Ankara,5,10165.5,3111
411,2024-02-09,SSD Disk,Adana,2,4392.27,2357
412,2023-03-22,Monitör,Gaziantep,3,11222.71,1753
413,2023-07-26,SSD Disk,Mersin,3,13998.71,5704
414,2023-10-06,Kulaklık,Ankara,5,11126.32,1961
415,2023-09-06,Laptop,Mersin,2,9587.27,431
416,2023-04-13,Tablet,Adana,4,1553.15,6315
417,2023-05-21,Laptop,Mersin,2,6133.27,7660
418,2024-05-02,Şarj Cihazı,Bursa,3,4851.46,5292
419,2023-03-02,RAM,Ankara,5,3521.69,6052
420,2023-02-08,RAM,İzmir,4,13239.56,1441
421,2023-02-07,SSD Disk,Konya,4,2835.36,6136
422,2023-10-24,RAM,İstanbul,1,4510.96,4938
423,2023-04-20,RAM,Adana,3,6842.52,5254
424,2024-07-10,Kamera,Gaziantep,2,12773.34,3835
425,2023-10-07,Klavye,Ankara,3,2479.29,3760
426,2024-10-25,Mouse,İzmir,1,11062.44,6478
427,2023-10-30,Hoparlör,Bursa,2,9183.77,5233
428,2024-02-20,SSD Disk,Konya,5,4952.5,3284
429,2024-11-16,Telefon,İzmir,2,7187.94,7667
430,2023-09-12,Laptop,Antalya,4,3571.04,6175
431,2023-10-01,Monitör,Antalya,5,10857.09,94
432,2023-09-25,Yazıcı,Adana,2,978.76,969
433,2024-04-21,Mouse,İzmir,4,10306.8,7563
434,2024-12-21,Mikrofon,Antalya,1,9598.73,7706
435,2023-10-30,Monitör,Kayseri,2,3325.97,1095
436,2024-05-04,Kulaklık,Gaziantep,5,5635.69,5751
437,2024-07-16,RAM,Gaziantep,5,12039.83,6764
438,2023-08-12,Mikrofon,Bursa,5,13103.37,671
439,2024-06-22,Şarj Cihazı,Mersin,3,1217.64,4622
440,2023-04-25,Laptop,Mersin,5,3072.24,4397
441,2023-06-03,Kulaklık,Adana,5,6655.52,5573
442,2023-07-30,Webcam,Kayseri,4,1409.58,4181
443,2024-04-01,Mikrofon,İstanbul,4,2022.57,3404
444,2024-04-12,Hoparlör,İstanbul,5,6962.56,6611
445,2023-11-12,Webcam,İstanbul,4,3854.14,25
446,2023-08-12,Hoparlör,Ankara,1,6384.28,5738
447,2023-03-07,Kamera,İstanbul,1,14792.75,3868
448,2023-02-02,Mouse,Konya,2,11546.13,6274
449,2024-10-18,Webcam,Konya,3,14893.21,3134
450,2024-04-04,SSD Disk,Konya,4,1249.74,7899
451,2024-11-08,SSD Disk,Mersin,2,9820.33,2849
452,2023-05-02,Kulaklık,Mersin,4,7956.2,5963
453,2023-08-17,SSD Disk,İstanbul,1,14678.44,3793
454,2024-11-20,Webcam,Mersin,4,8002.41,6745
455,2023-08-24,Klavye,Gaziantep,3,2369.06,1545
456,2023-04-26,Laptop,Konya,5,11502.5,7240
457,2023-01-17,Klavye,Bursa,1,1558.41,276
458,2024-04-02,Hoparlör,İstanbul,2,11121.09,3296
459,2024-03-25,Klavye,Mersin,2,11328.07,6358
460,2023-02-27,Kulaklık,Mersin,3,3550.71,7508
461,2024-08-12,Monitör,Kayseri,5,11599.45,6705
462,2023-11-25,Klavye,Antalya,2,14786.15,4271
463,2023-08-15,Tablet,Antalya,3,961.32,7771
464,2024-08-28,RAM,İzmir,4,8359.97,385
